tweet,Perbaikan
@CNNIndonesia Setuju jangan stop PTM,setuju jangan stop ptm
"Minta saja Luhut Panjaitan untuk tanda tangan di atas materai bahwa jika terjadi kematian siswa akibat covid yang terjadi karena kegiatan PTM menjadi tanggung jawab penuh dia segala konsekuensinya.
#TolakLuhutTolakPJJ https://t.co/yWVjT0XDsl",minta saja luhut manjaan tanda tangan atas materi bawa jika terjadi kematian siswa akibat covid terjadi karena kegiatan ptm menjamin tanggung jawab penuh segala konsekuensi
"RT @ChocoMaemi: @schfess Sejujurnya sekarang gw g setuju😭😭😭, karena gw udah nyaman ptm,gw udah mulai kaya dulu sebelum pandemi jd ank mudah…",sewajarnya sekarang gue setuju karena gue sudah nyaman ptm gue sudah mulai kaya sebelah pandemi jadi anak mudah
"@subschfess ga mihak keduanya
pjj bikin stres 
ptm bikin stres
sama aja",pihak keluang pjj stres ptm stres sama aja
"udah bagus ptm, skrng pjj. Sy kan jadi tidak bersemangat ngambis😞😞",sudah bagus ptm sekarang pjj saya jadi bersemangat ngambis
"@convomf masih ptm 100% mana kantinnya buka jadi rame bgt ampe desak desakan, ngeri sendiri liatnya T____T",ptm mantannya buka jadi rame banget sampai desak desakan ngeri sendiri liat
"@owryjaem Besok ak ptm 50% lagi. Pgn PJJ tapi kelas akhir huh. Gatau mesti senyum apa gimana.. ak mls berinteraksi sm org. Ini bukan cerita sih, lebih ke sambat malah",besok aku ptm lagi pengen pjj kelas huh gatau meski senyum aku mls interaksi sama bukan cerita lebih sambat malah
"RT @schfess: Sch! HATI² GUYS KALIAN YG MASIH PTM SAMA KYK AKU HARUS HATI² PLEASE INI, SABAR KEBIJAKAN EMANG RADA LELET DIAMBIL SAMA PEMERIN…",sch hati guys kajian ptm sama kayak aku hati please sabar kebijakan emang nada lecet ambil sama pemerintah
"@FarelrahmanOff2 Jujur iyaaa, ptm ga tau kenapa tugasnya 2x lipat lebih banyak 😭😭😭",jujur iyak ptm tau susahnya lipat lebih banyak
khusus pljrn hri ini maunya pjj hhh malah ptm,keurus pelajaran maunya pjj haha malah ptm
"@jawapos DPRnya WFH
Pelajarnya PTM
Gimana nih LBP
Siswa boleh RIP, DPR jangan
Hasyeeeem tenan",dpr wfh sewajarnya ptm lap siswa boleh rip dpr jangan ciyeee teman
"RT @_riverheaven: GUBERNUR MBALELO

Saat daerah lain menghentikan PTM, DKI maksa jalan terus. Gubernur ngeyel nanti tinggal lempar masalah…",gubernur balela darah lain menghentikan ptm dki maksa jalan gubernur nyesel nanti tinggal gempar masalah
"@zarazettirazr Rupanya bs ya.

Tp kok permohonan @aniesbaswedan tuk stop PTM di sekolah2, tdk diberi ijin oleh the real president.",rasanya permohonan stop ptm sekolah beri ijin boleh real presiden
"03.02.'22🍦
Hari ini belajar PTM seruuu, soalnya ada materi debat dan sempet jamkos juga sksks. Wish me luck, besok PH Math 😔👍 https://t.co/PTE2ltBu0u",belajar ptm seru soalnya ada materi debat sempat jam kosong wkwk wiih luck besok pa mat
"@subschfess pjj, karna kalo ptm sama aja ga banyak dijelasin materi jd bingung &amp; kalo ptm, pulang sekolah mau belajar rasanya capek. tp kl pjj, aku bs lebih produktif",pjj karena kalau ptm sama aja banyak dijelasin materi jadi bingung kalau ptm pulang sekolah mau belajar rasanya capek kalau pjj aku lebih produktif
"@convomf masih ptm 100%. alhamdulilah kotaku masih level 1. kalau udah masuk level 2, ya otomatis balik ptm 50% U____U",ptm alhamdulilah kota level kalau sudah masuk level otomatis balik ptm
gamau daring pls 😢😢😢 ptm 50% aja 😫😫😫😫,gamau daring pls ptm aja
nih yh walau kadang anak kelas ngeselin tp kalo ptm 100% seru,yg walau kadang anak kelas ngeselin kalau ptm seru
"@warriorReborn_ Makanya opung luhut ttp mau PTM ya apa pun yg terjadi takut di Gitmo kan ? 🤭😁
Cuma2 antek2 wakanda sialan msh kekeuh png covid berjilid2...😡👹",makanya opung luhut tetap mau ptm terjadi takut gita cuma antek makanya sialan meh keruh pun covid bersilih
sama aja. Beneran penyebarannya tetep ga terkontrol. Mau PTM atau PJJ juga sama aja. Sekalipun lu di rumah aja juga sama aja. Beneran sama aja. Out of nowhere lu bisa aja terpapar. Bahkan vaksin pun cuma meringankan gejala dan sama sekali ga bisa melindungi elu. Belum lagi-,sama aja beneran penjelasannya tetap tercantol mau ptm pjj sama aja sekali rumah aja sama aja beneran sama aja pere aja terpapar vaksin cuma meringankan gejala sama sekali melintangi elu belum lagi
"@dimas_skeptis @Rega84409356 @fadlizon Kalau @yunartowijaya punya anak usia sekolah dan dia tidak ingin PTM, bijimana ?",keris kalau punya anak usia sekolah ptm
"@schfess Nope, ptm 1000x lebih baik dripd pjj. Yg prokes aja jgn kendor😌",nape ptm lebih baik pjj prokes aja jangan kendor
"RT @PartaiSocmed: Pak @jokowi, DPR saja sudah melakukan pembatasan aktivitas mengapa kebijakan sekolah wajib PTM 100% belum dicabut? Apa ha…",dpr saja sudah melakukan pembatasan aktivasi mengap kebijakan sekolah wajib ptm belum cabut a
"@fadlizon Masalahnya yang mengajukan PTM itu Anies B, sehingga harus dilawan.",salahnya mengacaukan ptm anies seminggu dibawah
"@SyaifulHooda Ijin kang, PTM dievaluasi iya, tapi kontek penanganan covid disekolah juga kalau bisa harus ada anggaran khusus dari pemerintah. Jangan sampai sekolah kecil khususnya malah disibukan untuk memenuhi sarana pencegahan covid, dan hal yang lain seperti atk, kuota terabaikan",ijin ptm dievaluasi iya kontek penanganan covid sekolah kalau ada anggapan keurus dari pemerintah jangan sampai sekolah kecil khususnya malah kesibukan memenuhi saran pencegahan covid lain seperti tk kuota perbaikan
@jejje113 klo SMA seruan ptm klo kuliah mendingan online sih soalnya aku blm pernah kuliah tatap muka🙃,kalau sma keruan ptm kalau kuliah mendingan online soalnya aku belum kuliah tatap muka
"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh kesima covid sedang tinggi ptm dihentikan sementara kalau sudah handai ptm dilanjutkan
"ptm gini jd keliatan ansosnya, tp kalo sok friendly jd aneh. hdeh",ptm jadi keliatan anti sosial kalau stok friend jadi aneh hadeh
"RT @_riverheaven: GUBERNUR MBALELO

Saat daerah lain menghentikan PTM, DKI maksa jalan terus. Gubernur ngeyel nanti tinggal lempar masalah…",mereken gubernur balela darah lain menghentikan ptm dki maksa jalan gubernur nyesel nanti tinggal gempar masalah
"walaupun pjj ga efektif, gw masih takut buat ptm krn case covid lg naik🤧",yaampun pjj efektif gue takut buat ptm karena cabe covid lagi naik
"Kenapa siihhh😭😭😭
Asli dah seneng ptm cuy, kesian maba di kampusku udah pada ngekos eh gak jadi kan mana udh pada ngerantau😭😭 https://t.co/H8lUcUyMJs",asli dah seneng ptm kuy kesian mahasiswa kampus sudah ngenes eh jadi sudah ngerasa
"RT @mouldie_sep: Ada satu sekolah di Bekasi
PTM ditutup pemerintah
Tapi tetep masuk
Ngga usah pake seragam
:(

Kenapa tetep PTM? Karena mos…",se ada sekolah bekasi ptm ditutup pemerintah tetap masuk usah pakai seragam tetap ptm karena mos
@satriohendri Mungkin saatnya para orangtua 100 persen mendukung menolak PTM di jkt....,mungkin salahnya para orangtua persen mendukung menolak ptm jkt
"@fadlizon Kritik yg membangun,  kata yg sealiran,  kritikmu membingungkan kata yg orang berfikir,  . Kritik mu tolol kata rakyat kayak saya,  karna menurut saya PTM di lanjutkan atau di hentikan,  kamu lebih tau..... Dn solosimu apa sebagai wakil rakyat.?????",kritik terbangun kata aliran kritik membangunkan kata berzikir kritik tolol kata rakyat kayak saya karena menurut saya ptm lanjutkan hentikan lebih tau solusi sebagai akil rakyat
@Beritasatu Hari ini yg covid bertambah 27ribuan...udah bahaya ni..smentara PTM dki masih jln terus ..gimana ini pak?,covid bertambah riasan sudah bahaya sementara ptm dki jalan
"Gamau pjj😭 cape tau pjj,enakan ptm. Ya ga? Tapi ya gimana lagi...mau ga mau harus dilakuin:) kata gue si stay strong,stay safe,stay healthy,stay with me.",gamau pjj cape tau pjj enakan ptm lagi mau mau dilakukan kata gue stay streng stay safe stay halah stay
"RT @nynov: @CNNIndonesia Dzalim ya pak luhut ini, anak saya yg masih sd dipaksa ptm 100%, ortu ga dikasi pilihan untuk pjj, padahal sudah a…",zalim luhut anak saya sd dipaksa ptm tua dikasih pilihan pjj sudah
"PTM di tutup ? Mndingan klo sekolahnya mewah dng kualitas gurunya yg bagus,daring hanya menimbulkan kebodohan.@Itjen_Kemdikbud @kemenpendidikan @pusdatin_dikbud @jokowi @ridwankamil @KemenkesRI",ptm tutup mendingan kalau disekolahnya merah kualitas lucunya bagus daring menyembulkan kebodohan memikul imbuh
"pas sebelum pandemi-ptm 50% iya, kaya sering bgt dibangunin sm gurunya karna ketiduran jasjahhag malu sumpahhh tp anehnya pas ptm full belum pernah ketiduran?? padhal tidur malemnya jam 23++ smoga aja ga pernahh lg https://t.co/REdygr3F9m",sebelah pandemi ptm iya kaya sering banget dikangenin sama lucunya karena ketiduran jajaran malu sumpah anehnya ptm full belum pernah ketiduran tidur balesnya jam semoga aja pernah lagi
@schfess klo blm ada kabar berati masih ptm keknya,kalau belum ada kabar berarti ptm kayaknya
"@schfess minimal ptm 50% kek pas dulu. jadi kalo mau pjj ya pjj, mau ptm tinggal dateng ke sekolah.

gue mau pinter masalahnya nder trims",minimal ptm kayak jadi kalau mau pjj pjj mau ptm tinggal dateng sekolah gue mau pinter salahnya nder trims
"@dimas_skeptis @Rega84409356 @fadlizon Sudahlah teori pembelaan elu gak masuk akal .. jangan sok membenarkan Salah satu kalo dasar membenci yg satunya...!

Logika akal sehat aja.. atau jangan2 elu gak punya anak???

Atau pun kalau punya gak merasa sayang kalo anak elu terpalar gara2 PTM di sekolahnya.????",keris dahlah beri pemberian masuk akal jangan stok membenarkan salah kalau damar membenci liwa akal sehat aja jangan punya anak kalau punya merasa sayang kalau anak terpapar gara ptm disekolahnya
"RT @DokterAri: Setuju PTM ditunda sampai 1 bulan ke depan,penularan memang bisa terjadi saat disekolah,ini terjadi pada kerabat kami,anakny…",setuju ptm itunya sampai penularan memang terjadi disekolahnya terjadi kerabat kayangan
"sch! ada yang sekolahnya baru beberapa minggu ptm 100% habis itu pjj lagi? 😓

✄・・・
🧐 Trivia: Banjarmasin bermula dari sebuah perkampungan dataran rendah bernama ""Banjarmasih""",sch ada disekolahnya beberapa ptm habis pjj lagi trima ganjaran bermula dari sebelah serampangan daratan rendah bernama kenapasih
"RT @l0eydust: @schfess @netacakep org"" kok pada demen pjj dah wkwkwkw, iya gue tau emg situasi nya ga memungkinkan bgt buat ptm, tapi ya ka…",demen pjj dah wkwk iya gue tau emg situasi kemungkinan banget buat ptm
"@schfess halah mau pjj alasannya want to still alive tapi tetep keluyuran jalan sana sini sama ga taat ya sama aja bohong. mending ptm 😁

gue tetep tim ptm si. gue bisa2 beneran goblok kalo pjj anjing. materi ga masuk otak semua kalo pjj.",halah mau pjj lainnya wan sila live tetap keluaran jalan sama taat sama aja bohong mending ptm gue tetap tim ptm gue beneran goblok kalau pjj anjing materi masuk otak semua kalau pjj
"RT @llyicheee: @schfess @caarebonara PTM FULL GAADA POTONGAN GAADA NEGO GAADA APAPUN ALASANNN, STRES GUE",ptm full gaada potongan gaada bego gaada alasan stress gue
"RT @hazbyihsany: @Mdy_Asmara1701 Salah Pak Anies.

Kalau Pak Anies ingin PTM distop, mintalah sebaliknya, PTM jangan distop. Maka Luhut aka…",salah anies kalau anies ptm distop mengalah segalanya ptm jangan distop make luhut aja
"@subschfess Kadang suka aneh sih, kalau PJJ pengen ptm tapi kalau udh ptm maunya PJJ wkwkwk",kadang suka aneh kalau pjj pengen ptm kalau sudah ptm maunya pjj wkwk
@libidibidibdib males ptm gmn ni by 😭😭😔,males ptm by
"Penolakan spertx alasan dibuat2. Pdhl @aniesbaswedan ingin lindugi generasi.

SMG tdk ada niat benturkan Gub dg warga aplg beri ruang bg buzzeRp dmedsos tuk fitnah, ccmaki, bangun kbencian k Anies

Cm ingat pilkada, dukung n datangi rmh yai dm apa n siapa

https://t.co/crVAId21AJ",penolakan sepertinya alasan dibuat lindu generasi semoga ada liat bentukan gub warga apas beri ruang bagi buxxer sedia sosial fitnah caci maki bangun keberatan anies cuma ingat kada dukung datang rumah eaa
@subschfess Both sih.. sometimes pjj gue butuhin kalo lagi cape dan sibuk gitu. Kalo ptm buat ngilangin stres di rumah karena bisa ketemu ayang😍,simetris pjj gue butuhin kalau lagi cape sibuk kalau ptm buat ngurangin stress rumah karena ketemu sayang
"ni harus ijin g nentorin dulu, flu berat, batuk berdahak eyy, ntar murid yg ada ketularan, mana masih ptm disini",ijin mentor flu berat batuk berdahak hey bentar murid ada ketularan ptm
@subschfess kemaren sih pengennya ptm terus aja tapi liat kondisi kayak gini mending pjj deh. blm siap mati gue blm tobat banyak yg belum gue lakukan jg plz,kemarin pengenalan ptm aja liat kandis kayak mending pjj deh belum siap mati gue belum tobat banyak belum gue lekukan pls
ptm 50% gajelas anj,ptm gajelas anjing
"Cape banget astaga, baru juga PTM sebulan udah daring lagi, ni jatuhnya gua jadi lulusan corona jilid 3 nih.",cape banget astaga ptm sudah daring lagi jatohnya gua jadi ulasan jorong jilid
"@schfess mending distop apa kena covid hayooo

tau tau aj si ni covid lg tinggi, bnrn apa ni org2 mau paksain PTM juga??",mending distop kena covid hayo tau tau aja covid lagi tinggi beneran mau paksa ptm
@schfess PTM GANJIL GENAP AJA!1!1!,ptm ganjil genap aja
"@fahiraidris @rmol_id Bun, menurut sy yang dievaluasi bukan PTM nya. Tp pemda dan pusat hrs akur utk menegur keras klo ada pejabat atau publik figur yg melakukan kegiatan publik melanggar prokes. Mereka yg menyebar virus, peserta didik dan sekolah dijadikan kambing hitam dianggap sbg cluster virus :(",bunda menurut saya dievaluasi bukan ptm pemda pusat akur menegur keras kalau ada pejabat publik figur melakukan kegiatan publik melanggar prokes menyebar virus peserta didik sekolah dilakukan kambing hitam dianggap cluster virus
"@subschfess ptm, lu bisa explore atau dapat pengalaman baru yang mungkin tidak sengaja lu dapatkan ketika lu bersoalisasi, lu datang ke kampus/sekolah, lu bisa lebih hidup dengan tidak di dalam rumah terus menerus, yang ada stress pjj terus (di sebagian orang)",ptm explore dapat pengalaman mungkin sengaja dapatkan bersosialisasi datang kampus sekolah lebih hidup dalam rumah menerus ada stress pjj sebagian
"sch! junior, teman sepantaran, teman sekelas sender udah banyak yang positif tapi sekolah masih ptm 😎🤟",sch junior teman sepantar teman sebelah sender sudah banyak positif sekolah ptm
"gapengen ptm gara gara takut ulangan, tapi kalo pjj gue kagak dpet duit.. kan lumayan sehari 20k 🫂🫂",gapengen ptm gara gara takut ulangan kalau pjj gue dapet duit lumayan
"Saya suka ptm, asal gada mapel ekonomi",saya suka ptm asal gaada mata pelajaran ekonomi
"@subschfess PTM, materi lebih jelas, gw klo pjj suka ketiduran wkwk, trs kalo ptm dapet uang jajan ^^",ptm materi lebih jelas gue kalau pjj suka ketiduran wkwk kalau ptm dapet uang jajan
"@jyszaa @schfess Kalo ptm kumpul dalem ruangan sama banyak orang kak. Seperti sender, i wanna still alive🥲🙏🏻",kalau ptm kumpul dalem buangan sama banyak seperti sender wan sila live
"SchApp! aku tiap ptm rasanya capekk bgt, pas sampe rumah jadi emosian, suka bentak, itu beneran ga sengaja rasanya kek keluar begitu aja dari muluttt, sulit ngontrolnyaa, harus gimana:(",aku tiap ptm rasanya capek banget sampai rumah jadi emosi suka bentak beneran sengaja rasanya kayak keluar begitu aja dari mulut silit kontrol
"RT @aprlndh: @schfess sesuai dugaan gue, kenapa 100% sih, mendingan 25% gitu supaya dapet aja ptm, kita anak smk susah jadinya mana banyaka…",sesuai gugatan gue mendingan supaya dapet aja ptm anak smk susah jamnya banyak
"sejujurnya ptm lebih mantap, daripada pjj. but my brain can't compare.",sewajarnya ptm lebih mantap pjj brain cant compare
PTM 50% ? KENAPA GA DI PJJ IN SMUA SI BUKKK CPEK NIHHH MSALAHNY NO ABSEN GW 1-20 EEK MMF MAK NAMA KU KNP HARUS DEPANNYA A ?,ptm pjj semua capek salahnya absen gue eek mil nama tepatnya
"coba aja aku ga ptm, ga akan aku rela begadang gini 💔 https://t.co/jqWexw9nxE",coba aja aku ptm aku rela begadang
@synnn0o0 iyaa kelas gue maennya begitu wkwk.. sekalinya ada masalah sama mereka busett ga nyaman dah sekolah PTM wkwk,iyak kelas gue mainnya begitu wkwk segalanya ada masalah sama busen nyaman dah sekolah ptm wkwk
"sch! AH GA ASIK BESOK GA PTM, ga ketemu ayang😭😭😭 mana di sekolahku ga pernah zoom/g.meet lagi. ga dapet uang jajan juga hiksss",sch wah asik besok ptm ketemu sayang sekolah pernah zoom meet lagi dapet uang jajan hiks
"RT @HollandGurls: @schfess Sebenarnya mah klo gada kasus meninggal yaa terobos aj sih PTM, org klo di PJJ juga pada keluyuran main sana sin…",sebenarnya mah kalau kasus meninggal eaa serobot aja ptm kalau pjj keluaran main
"@schfess ptm full kek 50% kek yg penting ptm pak yaAllah saya mau ukom gaada bekel apa apa, takut bgt",ptm full kayak kayak pending ptm allah saya mau ukom bekal takut banget
"Tolong pemerintah kalau ga msu stop PTM keluarkan edaran biarkan kami ortu memilih atau boleh memilih PJJ  untuk anak kami biar kami tenang pa. Jangan dianggak reneh covid ini krn angka kematian belum bnyk 1 nyawa berharga,",tolong pemerintah kalau mau stop ptm keluarkan edaran biarkan tua memilih boleh memilih pjj anak biar tenang jangan dianggap remeh covid karena angka kematian belum banyak nyawa berharga
"Aku rencana kl ptm 50% mau aku pake penilaian harian sama bahas soal+review materi aja, tgl 7 maret udah pts 🙂",aku rencana kalau ptm mau aku pakai penularan harian sama bahas soal rebeh materi aja tanggal maret sudah ptm
"Enaknya PJJ gue bisa maraton film doang, sisanya flopped. Enaknya PTM gue dapet duit, sisanya flopped.",anaknya pjj gue daratan rim doang bisanya closed anaknya ptm gue dapet duit bisanya closed
"sch! sedih banget besok sekolah sender ptm nya 50% lagi 😭😭😭 tapi kalau keadaannya kaya gini juga yaa mau gimana lagi, tapi sedih banget jujur 😭",sch sedih banget besok sekolah sender ptm lagi kalau kenyataannya kaya eaa mau lagi sedih banget jujur
"Dilema sih ! 
Anak anak sudah di vaksin lalu di khawatirkan terjangkit virus ,sehingga PTM dikhawatirkan 🤗 very Nice 
Masalahnya buat apa Vaksin kalo anak anak tetep harus dirumah jadi individualis dan Ansos 🤔💭
Sekolah itu tempat bersosialisasi,mencari teman sebanyak bnknya 🤗 https://t.co/LHy2DHhJkx",dilema anak anak sudah vaksin lalu khawatir tersangkut virus seminggu ptm kekhawatiran nice salahnya buat vaksin kalau anak anak tetap rumah jadi individual anti sosial sekolah tempat bersosialisasi mencari teman banyak banyaknya
Sch! Ada ga yg sekolahnya ada yg positif tpi tetep ngotot ptm? https://t.co/l7KXE59Saj,sch ada disekolahnya ada positif tetap ngotot ptm
sedih bgt ga si jd angkatan 23 sekolah baru sma baru temen baru tp bru ptm tahun ini jd bru kenal mrk tahun ini itupun cmn sekedar nyapa doank,sedih banget jadi angkatan sekolah sma teman ptm jadi kenal cuma sekadar napa doang
"RT @pinterpolitik: Wih, jadi perlu stop PTM atau nggak nih dengan kondisi saat ini? #politik #pinterpolitik #infografis 
https://t.co/IK9VS…",wah jadi perlu stop ptm kandis
"@subschfess Ptm, karna kalo pjj cuma dikasi tugas tapi jarang diterangin, truss kalo uh gitu ga fair",ptm karena kalau pjj cuma dikasih tugas jarang diterangin kalau huh fair
"RT @firman__nurhuda: Dari sini kita tau , bahwa Pemerintah mana yang ingin mencegah Penyebaran Covid-19 Lewat PTM.

Koordinator PPKM Jawa-B…",dari tau bawa pemerintah mencegah penyebaran covid lewat ptm koordinator ppkm jawab
"gue netral aja dah, pjj atau ptm issokeh. kalo level exhausting sama produktivitas nya si ptm, kalo pjj gk ada capek tapi produktivitas menurun banget",gue netral aja dah pjj ptm besok kalau level ghosting sama probabilitas ptm kalau pjj ada capek probabilitas menurun banget
"RT @l0eydust: bisa ga si nge mute mf or twt yg mengandung covid gini sama ptm pjj gini, gue bosen asu",mutu mengandung covid sama ptm pjj gue bosen asu
RT @casualwons: pjj kalau lu pada masih keluyuran gak jelas sama aja anjing bilang apa bedanya sama ptm? bilang aja kalau lu pada gak mau b…,pjj kalau keluaran jelas sama aja anjing belanja sama ptm aja kalau mau
@schfess setuju. jujur gue ptm ketar ketir sendiri kalo kondisinya bgini 🙏🏻,setuju jujur gue ptm ketar ketir sendiri kalau kondisinya begini
"@CNNIndonesia Kalau PTM harus 100% coba cek kantor dia 100% gak? Cek sekolah punya anaknya 100% gak? Kalau gak jangan maksa... emangnya waktu sakit semua biaya ditanggung? Orang disuruh isoman, nafkah selama sakit gak ditanggung",kalau ptm coba cek kentar cek sekolah punya anaknya kalau jangan maksa memangnya sakit semua biaya tanggung disuruh isoman nafkah selama sakit tanggung
@inojein kirain masi ptm huhuu,kirain ptm huhu
aaa pgn nangid kalo inget pas ptm kemaren:( mereka yg terlalu baik apa gmn sii kangen temen2😭😭,eaa pengen nangis kalau ingat ptm kemarin terlalu baik kangen teman
"@yuwantino12 @CNNIndonesia Ga boleh minta PJJ di sekolah anak saya, di jakarta itu hrs PTM 100%...bukan masalah levelnya,tapi masalah penyebarannya itu, jakarta lagi tinggi aka,ttp maksain masuk 100%",boleh minta pjj sekolah anak saya jakarta ptm bukan masalah beresnya masalah penjelasannya jakarta lagi tinggi tetap makin masuk
"RT @nasipakde: @taktekbum ada sebuah sekolah, banyak yg bergejala tp gak mau ditest dan tracing. pas diintervensi orang luar, terbukti ada…",ada sebelah sekolah banyak bergejala mau test tracing inferensi terbukti ada
tidak memanfaatkan ptm 100% dgn sebaik baiknya dan akhirnya skrg balek ke 50% lg:) 💔,memanjatkan ptm sebit baiknya akhir sekarang balik lagi
"""gue capek bgt klo ptm"" ""lo emg gatakut kena covid apa kl ptm trus?"" pdhl yg ngomong ngemall &amp; jalan2 mulu",gue capek banget kalau ptm emg gatau kena covid kalau ptm ngomong gemal jalan mulu
"💙 mohon pencerahannya karna aku udah cape banget sebenernya kaya gini terus. oiya, dulu sempet udah ngerasa move on eh pas ptm jadi gamon lagi sekarang https://t.co/iES1olUS1T",mohon penjelasannya karena aku sudah cape banget sebenernya kaya iya sempat sudah ngerasa love eh ptm jadi lagi sekarang
"Waduh, klo gk ada PTM, nanti pas puasa dan lebaran, kasus covidnya turun, gk bisa larang umat muslim ibadah jamaah deh 😢🤭 https://t.co/FQ6yeQEiQo",waduh kalau ada ptm nanti puasa lebaran kasus covid turun larang umat muslim ibadah jamah deh
"@somay52 @Mdy_Asmara1701 sepemikiran kita.., PTM aja dulu ntar klo dah banyak yg kena..bru tuh PPKM, ya sekitar bulan Maret April Mei lahh, poko nya bulan Puasa sama Lebaran gitu..hadeehh",asmara pemikiran ptm aja bentar kalau dah banyak kena ppkm sekar maret ampil meh puasa sama lebaran hadeh
"@Rega84409356 @fadlizon Salah satu alasan tidak PTM adalah agar anak kalau tertular tidak bawa virus ke rumah.
Lha, kan orang tuanya sudah vaksin 

Lagipula sesekali lihatlah di mall dan town square.
Di resto dan kafe banyak bapak² dan ibu² muda kongkow hahahihi sambil ngemil

Ironi yg pahit sekali",salah alasan ptm apalah agar anak kalau tertular bawa virus rumah tanya sudah vaksin lagu sekali halah mall down suari resap kafe banyak muda dongkol haha hihi sambel gempil ironi pahit sekali
YaAllah ptmt ke gausah ptm 100 persen,allah ptmt gausah ptm persen
RT @ProfesorZubairi: Realitas: kasus kematian Covid-19 meningkat 58% dalam sepekan. Per hari ini bahkan ada 38 kematian. Terlalu dini bagi…,realitas kasus kematian covid meningkat dalam serakan pere ada kematian terlalu gini bagi
"RT @PartaiSocmed: Pak @jokowi, DPR saja sudah melakukan pembatasan aktivitas mengapa kebijakan sekolah wajib PTM 100% belum dicabut? Apa ha…",dpr saja sudah melakukan pembatasan aktivasi kebijakan sekolah wajib ptm belum cabut
"@subschfess ptm. materinya lebih masuk, kalo ada apa apa bisa nanya lngsung ke temen ga perlu lama nunggu bales chat, lebih fokus, gerak seharian ga di depan laptop trs, seru bisa main sama temen temen.",ptm materi lebih masuk kalau ada nanya langsung teman perlu lama nunggu bales chat lebih fokus gerak laptop seru main sama teman teman
"jgn sampe sekolah gue balik pjj lagi, gue uda nyaman ptm anjirrrr. soalnya klo di sekolah ak bs ktwa ktwi dgn bebas",jangan sampai sekolah gue balik pjj lagi gue sudah nyaman ptm anjir soalnya kalau sekolah aku ketawa pertiwi bebas
" @aik_arif Mas @aniesbaswedan kalau memang sangat diperlukan PTM dihentikan sementara, ya ambil tanggung jawab saja hentikan sementara PTM, yg penting anak-anak terlindungi. https://t.co/M9QSe6HQ44",muas kalau memang sangit dipertuan ptm dihentikan sementara ambil tanggung jawab saja hentikan sementara ptm pending anak anak terlindung
@tercaur wah aku masih ptm sih gak tau nih gimana masih simpang siur,wah aku ptm tau simpang siur
"@jisungstroids jangan, kelamaan mending suruh sekolah ptm persesi😗🤌🏻",jangan kelamaan mending suruh sekolah ptm bersemi
"@fadlizon PTM distop bnyk yg berisik protes
PTM dilanjut bnyk yg berisik protes
oh, ada apa dengan idn ku?",ptm distop banyak berisik protes ptm lanjut banyak berisik protes oh ada
klo bisa ptm nya di hentikan smpe ulangan kenaikan/kelulusan ya plzz 🙏🏽,kalau ptm hentikan sampai ulangan kenaikan meluluskan plis
PENGEN PTM YA ALLAH BIAR NABUNGNYA LANCAR😭😭,pengen ptm allah biar sayangnya lancar
"@dimas_skeptis @fadlizon Ketika org dewasa aj yg sudh lbih pham dan logikanya lebih jaln ambil kputusan ini, knp malah anak2 sekolah diminta tetap PTM? Demi apa? gk tau juga sih..mngkin trkait dgn type imunitas yg loe bilang.. https://t.co/k8Vjd1vRZx",kesima dewasa aja sudah lebih paham lainnya lebih jalan ambil keputusan anak sekolah diminta tetap ptm tau mungkin terkait tipe komunitas
giliran pjj mintanya ptm..giliran udah di kasih ptm 100% malah minta pjj..dahla ga ngerti lagi,giliran pjj mintanya ptm giliran sudah kasih ptm malah minta pjj dahlah ngerti lagi
ahahha inget pernah nulis ini di notes! karna awal ptm blm ada temen deket jadi nervous bgtt disuruh perkenalan ulang😢 @dipadipret ily!💝 https://t.co/gFTSt40Lmf,haha ingat pernah nulis nenes karena awal ptm belum ada teman deket jadi terus banget disuruh berkenalan udang love
"@convomf ptm 50%, yok mangats yok",ptm yuk semangat yuk
"@fadlizon Mungkin kah sengaja dipaksakan PTM agar tercapai angka sebaran covid yg ditargetkan sehingga cukup alasan utk menutup dan membatasi semua aktivitas saat Ramadhan dan Idul Fitri ?
#SekedarTanya",mungkin sengaja dipaksain ptm agar tercapai angka sebaran covid diharuskan seminggu cukup alasan menutup membatasi semua aktivasi ramadhan idul fitri
masih ptm syukur walau udah mulai dibagi *emot sedih* https://t.co/3j9Z3TGbap,ptm syukur walau sudah mulai dibalik emot sedih
"kasian 2 Adek gua. Yg tadi nya Senin besok PTM full, eh malah daring lagi..
Alhamdulillah SPP dapet potongan lagi 10% xixixi [Mak w cakap macam tuu]",kasian adek gua besok ptm full eh malah daring lagi alhamdulillah spp dapet potongan lagi xixixi cakap macam
Padahal gue pengen ptm 100% sebelum lulus:(,gue pengen ptm lulus
@convomfs tergantung situasi. klo ptm n dulu deh,tergantung situasi kalau ptm deh
@convomfs kalo ptm gini mah nay dah nder ntar jd males kek gue wkwk,kalau ptm mah day dah nder bentar jadi males kayak gue wkwk
"sebulan ga salaman, ptm prik, corona prik, omicron prik, smuanya pun prik, yaAllah kapan selesainya kalo bgini terus",salaman ptm prik jorong prik omicron prik semaunya prik allah selesai kalau begini
